strategy_id,strategy_name,pair,required_trades,status,base_trades,stress_trades,base_observations,stress_observations,base_multiplier,stress_multiplier,pair_multiplier,missing_cost_buckets,notes
4,ECM + Copula + ZScore,BTC-USD-XLM-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTCUSDT-ETHUSDT,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTCUSDT-SOLUSDT,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,DOGE-USD-LTC-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,DOGE-USD-XRP-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-ADA-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-ALGO-USD,100,gap,0,0,400,400,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-APE-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-APT-USD,100,gap,0,0,200,200,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-ASTER-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-AVAX-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-BCH-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-BNB-USD,100,gap,0,0,400,400,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-BONK-USD,100,gap,0,0,98,98,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-DOT-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-ENA-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-ETC-USD,100,gap,0,0,99,99,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-HYPE-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-INJ-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-JUP-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-LINK-USD,100,gap,0,0,59818,59818,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-MKR-USD,100,gap,0,0,11952,11952,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-NEAR-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-ONDO-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-PENGU-USD,100,gap,0,0,400,400,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-PEPE-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-POL-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-SOL-USD,100,gap,0,0,12000,12000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-TAO-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-TRUMP-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-WLD-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETH-USD-WLFI-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,ETHUSDT-SOLUSDT,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,MATIC-USD-ARB-USD,100,gap,0,0,11952,11952,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,SOL-USD-ADA-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,SOL-USD-ALGO-USD,100,gap,0,0,400,400,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,SOL-USD-APE-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,SOL-USD-APT-USD,100,gap,0,0,200,200,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,SOL-USD-ASTER-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
